integration time 1.000,000 ms
average 50
LED operation voltage 3V
wavelength nm vs intensity

8.232223511e+02,7.152735256e-03
8.234577026e+02,3.854384413e-03
8.236930542e+02,8.215628332e-04
8.239284058e+02,-2.281131601e-04
8.241637573e+02,1.661257702e-03
8.243991089e+02,-4.177861847e-03
8.246345215e+02,1.411463832e-03
8.248698730e+02,9.482449852e-03
8.251052856e+02,2.477901289e-03
8.253406982e+02,1.431772835e-04
8.255761108e+02,-9.682903765e-04
8.258115234e+02,8.376835845e-03
8.260469360e+02,-3.028601532e-05
8.262824097e+02,3.812989453e-03
8.265178223e+02,4.992462229e-03
8.267532959e+02,9.637934156e-03
8.269887695e+02,1.412120927e-02
8.272242432e+02,2.201971598e-03
8.274597168e+02,1.758457348e-02
8.276952515e+02,-7.170403842e-03
8.279307251e+02,1.035360806e-02
8.281662598e+02,1.177385682e-03
8.284017944e+02,4.619411193e-03
8.286373291e+02,5.168679170e-03
8.288728638e+02,6.255678367e-03
8.291083984e+02,2.723913640e-03
8.293439331e+02,-2.987036947e-03
8.295795288e+02,-1.631536288e-03
8.298150635e+02,8.169746958e-03
8.300506592e+02,-1.657554647e-03
8.302862549e+02,1.968517434e-03
8.305218506e+02,1.242547948e-02
8.307574463e+02,1.642503310e-03
8.309931030e+02,5.506659392e-03
8.312286987e+02,5.473960657e-03
8.314643555e+02,3.199622501e-03
8.317000122e+02,1.145290118e-02
8.319356689e+02,3.137809224e-03
8.321713257e+02,-7.155787316e-04
8.324069824e+02,3.595574992e-03
8.326427002e+02,1.035431400e-02
8.328783569e+02,3.216709942e-03
8.331140747e+02,1.141050272e-02
8.333497925e+02,4.670713563e-03
8.335855103e+02,6.598850712e-03
8.338212280e+02,5.741479807e-03
8.340569458e+02,1.321383007e-02
8.342926636e+02,3.839158220e-03
8.345284424e+02,7.647671737e-03
8.347642212e+02,3.862698097e-03
8.350000000e+02,1.212703157e-02
8.352357788e+02,-1.149050426e-03
8.354715576e+02,7.535738405e-04
8.357073364e+02,-3.945993260e-03
8.359431152e+02,-1.689044526e-03
8.361789551e+02,6.544730626e-03
8.364147949e+02,3.928920254e-03
8.366506348e+02,1.633590437e-03
8.368864746e+02,1.388591062e-02
8.371223145e+02,1.260804478e-02
8.373581543e+02,1.952678664e-03
8.375940552e+02,2.681395039e-03
8.378298950e+02,5.651615094e-03
8.380657959e+02,5.510316230e-03
8.383016968e+02,1.435542945e-03
8.385375977e+02,3.965540323e-03
8.387734985e+02,8.037685184e-04
8.390093994e+02,-8.808545768e-03
8.392453613e+02,1.634306274e-03
8.394813232e+02,2.069343580e-03
8.397172241e+02,4.864522256e-03
8.399531860e+02,1.037513022e-03
8.401891479e+02,1.030006097e-03
8.404251099e+02,6.556264590e-03
8.406611328e+02,9.663045406e-03
8.408970947e+02,7.910541259e-03
8.411331177e+02,-7.130324841e-03
8.413691406e+02,9.242827073e-03
8.416051636e+02,3.570182482e-03
8.418411865e+02,1.184756216e-02
8.420772095e+02,-8.593856910e-05
8.423132324e+02,-1.838897704e-03
8.425493164e+02,-5.369030870e-03
8.427853394e+02,-2.826269716e-03
8.430214233e+02,2.979198005e-03
8.432575073e+02,-1.374715939e-03
8.434935913e+02,-1.083155721e-02
8.437297363e+02,4.087213892e-03
8.439658203e+02,-1.356521389e-03
8.442019043e+02,-3.916441929e-03
8.444380493e+02,6.248938385e-03
8.446741943e+02,6.475878879e-03
8.449103394e+02,2.451729379e-04
8.451464844e+02,3.673816333e-03
8.453826294e+02,-1.406418975e-03
8.456188354e+02,1.031804178e-02
8.458549805e+02,-1.380409463e-03
8.460911865e+02,1.502570929e-03
8.463273926e+02,1.735597965e-03
